
  RooFitResult: minimized FCN value: -896.684, estimated distance to minimum: 2.42138e-05
                covariance matrix quality: Not calculated at all
                Status : MINIMIZE=-1 HESSE=304 MINOS=-1 

    Constant Parameter    Value     
   TTT_bin_2_mt_DM1_In    0.0000e+00
   TTT_bin_3_mt_DM0_In    0.0000e+00
  TTT_bin_3_mt_DM10_In    0.0000e+00
  TTT_bin_3_mt_DM11_In    0.0000e+00
   TTT_bin_3_mt_DM1_In    0.0000e+00
   TTT_bin_4_mt_DM0_In    0.0000e+00
  TTT_bin_4_mt_DM10_In    0.0000e+00
  TTT_bin_4_mt_DM11_In    0.0000e+00
   TTT_bin_4_mt_DM1_In    0.0000e+00
   TTT_bin_5_mt_DM0_In    0.0000e+00
  TTT_bin_5_mt_DM10_In    0.0000e+00
  TTT_bin_5_mt_DM11_In    0.0000e+00
   TTT_bin_5_mt_DM1_In    0.0000e+00
   TTT_bin_6_mt_DM0_In    0.0000e+00
  TTT_bin_6_mt_DM10_In    0.0000e+00
  TTT_bin_6_mt_DM11_In    0.0000e+00
   TTT_bin_6_mt_DM1_In    0.0000e+00
   TTT_bin_7_mt_DM0_In    0.0000e+00
  TTT_bin_7_mt_DM10_In    0.0000e+00
  TTT_bin_7_mt_DM11_In    0.0000e+00
   TTT_bin_7_mt_DM1_In    0.0000e+00
   TTT_bin_8_mt_DM0_In    0.0000e+00
  TTT_bin_8_mt_DM10_In    0.0000e+00
  TTT_bin_8_mt_DM11_In    0.0000e+00
   TTT_bin_8_mt_DM1_In    0.0000e+00
    VV_bin_1_mt_DM0_In    0.0000e+00
   VV_bin_1_mt_DM10_In    0.0000e+00
   VV_bin_1_mt_DM11_In    0.0000e+00
    VV_bin_1_mt_DM1_In    0.0000e+00
    VV_bin_2_mt_DM0_In    0.0000e+00
   VV_bin_2_mt_DM10_In    0.0000e+00
   VV_bin_2_mt_DM11_In    0.0000e+00
    VV_bin_2_mt_DM1_In    0.0000e+00
    VV_bin_3_mt_DM0_In    0.0000e+00
   VV_bin_3_mt_DM10_In    0.0000e+00
   VV_bin_3_mt_DM11_In    0.0000e+00
    VV_bin_3_mt_DM1_In    0.0000e+00
    VV_bin_4_mt_DM0_In    0.0000e+00
   VV_bin_4_mt_DM10_In    0.0000e+00
   VV_bin_4_mt_DM11_In    0.0000e+00
    VV_bin_4_mt_DM1_In    0.0000e+00
    VV_bin_5_mt_DM0_In    0.0000e+00
   VV_bin_5_mt_DM10_In    0.0000e+00
   VV_bin_5_mt_DM11_In    0.0000e+00
    VV_bin_5_mt_DM1_In    0.0000e+00
    VV_bin_6_mt_DM0_In    0.0000e+00
   VV_bin_6_mt_DM10_In    0.0000e+00
   VV_bin_6_mt_DM11_In    0.0000e+00
    VV_bin_6_mt_DM1_In    0.0000e+00
    VV_bin_7_mt_DM0_In    0.0000e+00
   VV_bin_7_mt_DM10_In    0.0000e+00
   VV_bin_7_mt_DM11_In    0.0000e+00
    VV_bin_7_mt_DM1_In    0.0000e+00
    VV_bin_8_mt_DM0_In    0.0000e+00
   VV_bin_8_mt_DM10_In    0.0000e+00
   VV_bin_8_mt_DM11_In    0.0000e+00
    VV_bin_8_mt_DM1_In    0.0000e+00
     W_bin_1_mt_DM0_In    0.0000e+00
    W_bin_1_mt_DM10_In    0.0000e+00
    W_bin_1_mt_DM11_In    0.0000e+00
     W_bin_1_mt_DM1_In    0.0000e+00
     W_bin_2_mt_DM0_In    0.0000e+00
    W_bin_2_mt_DM10_In    0.0000e+00
    W_bin_2_mt_DM11_In    0.0000e+00
     W_bin_2_mt_DM1_In    0.0000e+00
     W_bin_3_mt_DM0_In    0.0000e+00
    W_bin_3_mt_DM10_In    0.0000e+00
    W_bin_3_mt_DM11_In    0.0000e+00
     W_bin_3_mt_DM1_In    0.0000e+00
     W_bin_4_mt_DM0_In    0.0000e+00
    W_bin_4_mt_DM10_In    0.0000e+00
    W_bin_4_mt_DM11_In    0.0000e+00
     W_bin_4_mt_DM1_In    0.0000e+00
     W_bin_5_mt_DM0_In    0.0000e+00
    W_bin_5_mt_DM10_In    0.0000e+00
    W_bin_5_mt_DM11_In    0.0000e+00
     W_bin_5_mt_DM1_In    0.0000e+00
     W_bin_6_mt_DM0_In    0.0000e+00
    W_bin_6_mt_DM10_In    0.0000e+00
    W_bin_6_mt_DM11_In    0.0000e+00
     W_bin_6_mt_DM1_In    0.0000e+00
     W_bin_7_mt_DM0_In    0.0000e+00
    W_bin_7_mt_DM10_In    0.0000e+00
    W_bin_7_mt_DM11_In    0.0000e+00
     W_bin_7_mt_DM1_In    0.0000e+00
     W_bin_8_mt_DM0_In    0.0000e+00
    W_bin_8_mt_DM10_In    0.0000e+00
    W_bin_8_mt_DM11_In    0.0000e+00
     W_bin_8_mt_DM1_In    0.0000e+00
    ZJ_bin_1_mt_DM0_In    0.0000e+00
   ZJ_bin_1_mt_DM10_In    0.0000e+00
   ZJ_bin_1_mt_DM11_In    0.0000e+00
    ZJ_bin_1_mt_DM1_In    0.0000e+00
    ZJ_bin_2_mt_DM0_In    0.0000e+00
   ZJ_bin_2_mt_DM10_In    0.0000e+00
   ZJ_bin_2_mt_DM11_In    0.0000e+00
    ZJ_bin_2_mt_DM1_In    0.0000e+00
    ZJ_bin_3_mt_DM0_In    0.0000e+00
   ZJ_bin_3_mt_DM10_In    0.0000e+00
   ZJ_bin_3_mt_DM11_In    0.0000e+00
    ZJ_bin_3_mt_DM1_In    0.0000e+00
    ZJ_bin_4_mt_DM0_In    0.0000e+00
   ZJ_bin_4_mt_DM10_In    0.0000e+00
   ZJ_bin_4_mt_DM11_In    0.0000e+00
    ZJ_bin_4_mt_DM1_In    0.0000e+00
    ZJ_bin_5_mt_DM0_In    0.0000e+00
   ZJ_bin_5_mt_DM10_In    0.0000e+00
   ZJ_bin_5_mt_DM11_In    0.0000e+00
    ZJ_bin_5_mt_DM1_In    0.0000e+00
    ZJ_bin_6_mt_DM0_In    0.0000e+00
   ZJ_bin_6_mt_DM10_In    0.0000e+00
   ZJ_bin_6_mt_DM11_In    0.0000e+00
    ZJ_bin_6_mt_DM1_In    0.0000e+00
    ZJ_bin_7_mt_DM0_In    0.0000e+00
   ZJ_bin_7_mt_DM10_In    0.0000e+00
   ZJ_bin_7_mt_DM11_In    0.0000e+00
    ZJ_bin_7_mt_DM1_In    0.0000e+00
    ZJ_bin_8_mt_DM0_In    0.0000e+00
   ZJ_bin_8_mt_DM10_In    0.0000e+00
   ZJ_bin_8_mt_DM11_In    0.0000e+00
    ZJ_bin_8_mt_DM1_In    0.0000e+00
    ZL_bin_1_mt_DM0_In    0.0000e+00
   ZL_bin_1_mt_DM10_In    0.0000e+00
    ZL_bin_1_mt_DM1_In    0.0000e+00
    ZL_bin_2_mt_DM0_In    0.0000e+00
   ZL_bin_2_mt_DM10_In    0.0000e+00
    ZL_bin_2_mt_DM1_In    0.0000e+00
    ZL_bin_3_mt_DM0_In    0.0000e+00
   ZL_bin_3_mt_DM10_In    0.0000e+00
   ZL_bin_3_mt_DM11_In    0.0000e+00
    ZL_bin_3_mt_DM1_In    0.0000e+00
    ZL_bin_4_mt_DM0_In    0.0000e+00
   ZL_bin_4_mt_DM10_In    0.0000e+00
   ZL_bin_4_mt_DM11_In    0.0000e+00
    ZL_bin_4_mt_DM1_In    0.0000e+00
    ZL_bin_5_mt_DM0_In    0.0000e+00
   ZL_bin_5_mt_DM10_In    0.0000e+00
    ZL_bin_5_mt_DM1_In    0.0000e+00
    ZL_bin_6_mt_DM0_In    0.0000e+00
   ZL_bin_6_mt_DM10_In    0.0000e+00
   ZL_bin_6_mt_DM11_In    0.0000e+00
    ZL_bin_6_mt_DM1_In    0.0000e+00
    ZL_bin_7_mt_DM0_In    0.0000e+00
   ZL_bin_7_mt_DM10_In    0.0000e+00
   ZL_bin_7_mt_DM11_In    0.0000e+00
    ZL_bin_7_mt_DM1_In    0.0000e+00
    ZL_bin_8_mt_DM0_In    0.0000e+00
   ZL_bin_8_mt_DM10_In    0.0000e+00
   ZL_bin_8_mt_DM11_In    0.0000e+00
    ZL_bin_8_mt_DM1_In    0.0000e+00
   ZTT_bin_1_mt_DM0_In    0.0000e+00
  ZTT_bin_1_mt_DM10_In    0.0000e+00
  ZTT_bin_1_mt_DM11_In    0.0000e+00
   ZTT_bin_1_mt_DM1_In    0.0000e+00
   ZTT_bin_2_mt_DM0_In    0.0000e+00
  ZTT_bin_2_mt_DM10_In    0.0000e+00
  ZTT_bin_2_mt_DM11_In    0.0000e+00
   ZTT_bin_2_mt_DM1_In    0.0000e+00
   ZTT_bin_3_mt_DM0_In    0.0000e+00
  ZTT_bin_3_mt_DM10_In    0.0000e+00
  ZTT_bin_3_mt_DM11_In    0.0000e+00
   ZTT_bin_3_mt_DM1_In    0.0000e+00
   ZTT_bin_4_mt_DM0_In    0.0000e+00
  ZTT_bin_4_mt_DM10_In    0.0000e+00
  ZTT_bin_4_mt_DM11_In    0.0000e+00
   ZTT_bin_4_mt_DM1_In    0.0000e+00
   ZTT_bin_5_mt_DM0_In    0.0000e+00
  ZTT_bin_5_mt_DM10_In    0.0000e+00
  ZTT_bin_5_mt_DM11_In    0.0000e+00
   ZTT_bin_5_mt_DM1_In    0.0000e+00
   ZTT_bin_6_mt_DM0_In    0.0000e+00
  ZTT_bin_6_mt_DM10_In    0.0000e+00
  ZTT_bin_6_mt_DM11_In    0.0000e+00
   ZTT_bin_6_mt_DM1_In    0.0000e+00
   ZTT_bin_7_mt_DM0_In    0.0000e+00
  ZTT_bin_7_mt_DM10_In    0.0000e+00
  ZTT_bin_7_mt_DM11_In    0.0000e+00
   ZTT_bin_7_mt_DM1_In    0.0000e+00
   ZTT_bin_8_mt_DM0_In    0.0000e+00
  ZTT_bin_8_mt_DM10_In    0.0000e+00
  ZTT_bin_8_mt_DM11_In    0.0000e+00
   ZTT_bin_8_mt_DM1_In    0.0000e+00
              eff_m_In    0.0000e+00
               lumi_In    0.0000e+00
           norm_qcd_In    0.0000e+00
            norm_wj_In    0.0000e+00
                     r    1.0000e+00
  rate_jTauFake_DM0_In    0.0000e+00
  rate_jTauFake_DM10_In    0.0000e+00
  rate_jTauFake_DM11_In    0.0000e+00
  rate_jTauFake_DM1_In    0.0000e+00
           shape_dy_In    0.0000e+00
  shape_jTauFake_DM0_In    0.0000e+00
  shape_jTauFake_DM10_In    0.0000e+00
  shape_jTauFake_DM11_In    0.0000e+00
  shape_jTauFake_DM1_In    0.0000e+00
   shape_mTauFakeSF_In    0.0000e+00
  shape_mTauFake_DM0_In    0.0000e+00
  shape_mTauFake_DM10_In    0.0000e+00
  shape_mTauFake_DM11_In    0.0000e+00
  shape_mTauFake_DM1_In    0.0000e+00
          shape_tid_In    0.0000e+00
            xsec_dy_In    0.0000e+00
            xsec_st_In    0.0000e+00
            xsec_tt_In    0.0000e+00
            xsec_vv_In    0.0000e+00

    Floating Parameter  InitialValue    FinalValue +/-  Error     GblCorr.
  --------------------  ------------  --------------------------  --------
      QCD_bin_1_mt_DM0    0.0000e+00   -7.2689e-02 +/-  0.00e+00  <none>
      QCD_bin_1_mt_DM1    0.0000e+00   -1.5446e-01 +/-  0.00e+00  <none>
     QCD_bin_1_mt_DM10    0.0000e+00    9.6112e-02 +/-  0.00e+00  <none>
     QCD_bin_1_mt_DM11    0.0000e+00   -2.2394e-01 +/-  0.00e+00  <none>
      QCD_bin_2_mt_DM0    0.0000e+00    9.2020e-02 +/-  0.00e+00  <none>
      QCD_bin_2_mt_DM1    0.0000e+00    6.6644e-01 +/-  0.00e+00  <none>
     QCD_bin_2_mt_DM10    0.0000e+00   -3.1993e-01 +/-  0.00e+00  <none>
     QCD_bin_2_mt_DM11    0.0000e+00   -3.1168e-01 +/-  0.00e+00  <none>
      QCD_bin_3_mt_DM0    0.0000e+00    5.2811e-01 +/-  0.00e+00  <none>
      QCD_bin_3_mt_DM1    0.0000e+00   -3.3605e-01 +/-  0.00e+00  <none>
     QCD_bin_3_mt_DM10    0.0000e+00   -3.5187e-02 +/-  0.00e+00  <none>
     QCD_bin_3_mt_DM11    0.0000e+00   -5.5209e-01 +/-  0.00e+00  <none>
      QCD_bin_4_mt_DM0    0.0000e+00   -5.2789e-03 +/-  0.00e+00  <none>
      QCD_bin_4_mt_DM1    0.0000e+00    1.3782e-01 +/-  0.00e+00  <none>
     QCD_bin_4_mt_DM10    0.0000e+00    1.9009e-02 +/-  0.00e+00  <none>
     QCD_bin_4_mt_DM11    0.0000e+00   -1.8965e-01 +/-  0.00e+00  <none>
      QCD_bin_5_mt_DM0    0.0000e+00   -5.1698e-01 +/-  0.00e+00  <none>
      QCD_bin_5_mt_DM1    0.0000e+00    4.7423e-02 +/-  0.00e+00  <none>
     QCD_bin_5_mt_DM10    0.0000e+00   -2.2661e-01 +/-  0.00e+00  <none>
     QCD_bin_5_mt_DM11    0.0000e+00   -3.0514e-01 +/-  0.00e+00  <none>
      QCD_bin_6_mt_DM0    0.0000e+00    1.6414e-01 +/-  0.00e+00  <none>
      QCD_bin_6_mt_DM1    0.0000e+00   -2.2924e-01 +/-  0.00e+00  <none>
     QCD_bin_6_mt_DM10    0.0000e+00    3.1769e-01 +/-  0.00e+00  <none>
     QCD_bin_6_mt_DM11    0.0000e+00    3.3631e-01 +/-  0.00e+00  <none>
      QCD_bin_7_mt_DM0    0.0000e+00    1.0646e-01 +/-  0.00e+00  <none>
      QCD_bin_7_mt_DM1    0.0000e+00   -5.6845e-02 +/-  0.00e+00  <none>
     QCD_bin_7_mt_DM10    0.0000e+00    1.4357e-01 +/-  0.00e+00  <none>
     QCD_bin_7_mt_DM11    0.0000e+00    4.3644e-01 +/-  0.00e+00  <none>
      QCD_bin_8_mt_DM0    0.0000e+00   -3.6470e-01 +/-  0.00e+00  <none>
      QCD_bin_8_mt_DM1    0.0000e+00    2.5929e-02 +/-  0.00e+00  <none>
     QCD_bin_8_mt_DM10    0.0000e+00   -3.3917e-02 +/-  0.00e+00  <none>
     QCD_bin_8_mt_DM11    0.0000e+00    9.3088e-01 +/-  0.00e+00  <none>
       ST_bin_1_mt_DM0    0.0000e+00   -3.0477e-03 +/-  0.00e+00  <none>
       ST_bin_1_mt_DM1    0.0000e+00   -6.9788e-03 +/-  0.00e+00  <none>
      ST_bin_1_mt_DM10    0.0000e+00    4.0286e-03 +/-  0.00e+00  <none>
      ST_bin_1_mt_DM11    0.0000e+00   -1.0551e-02 +/-  0.00e+00  <none>
       ST_bin_2_mt_DM0    0.0000e+00    3.4191e-03 +/-  0.00e+00  <none>
       ST_bin_2_mt_DM1    0.0000e+00    2.9760e-02 +/-  0.00e+00  <none>
      ST_bin_2_mt_DM10    0.0000e+00   -1.1440e-02 +/-  0.00e+00  <none>
      ST_bin_2_mt_DM11    0.0000e+00   -1.3361e-02 +/-  0.00e+00  <none>
       ST_bin_3_mt_DM0    0.0000e+00    2.1973e-02 +/-  0.00e+00  <none>
       ST_bin_3_mt_DM1    0.0000e+00   -1.6393e-02 +/-  0.00e+00  <none>
      ST_bin_3_mt_DM10    0.0000e+00   -2.0651e-03 +/-  0.00e+00  <none>
      ST_bin_3_mt_DM11    0.0000e+00   -4.0220e-02 +/-  0.00e+00  <none>
       ST_bin_4_mt_DM0    0.0000e+00   -6.3778e-04 +/-  0.00e+00  <none>
       ST_bin_4_mt_DM1    0.0000e+00    7.7345e-03 +/-  0.00e+00  <none>
      ST_bin_4_mt_DM10    0.0000e+00    1.0274e-03 +/-  0.00e+00  <none>
      ST_bin_4_mt_DM11    0.0000e+00   -1.5935e-02 +/-  0.00e+00  <none>
       ST_bin_5_mt_DM0    0.0000e+00   -2.3398e-02 +/-  0.00e+00  <none>
       ST_bin_5_mt_DM1    0.0000e+00    2.6431e-03 +/-  0.00e+00  <none>
      ST_bin_5_mt_DM10    0.0000e+00   -1.5717e-02 +/-  0.00e+00  <none>
      ST_bin_5_mt_DM11    0.0000e+00   -1.9656e-02 +/-  0.00e+00  <none>
       ST_bin_6_mt_DM0    0.0000e+00    9.2032e-03 +/-  0.00e+00  <none>
       ST_bin_6_mt_DM1    0.0000e+00   -1.5621e-02 +/-  0.00e+00  <none>
      ST_bin_6_mt_DM10    0.0000e+00    2.5642e-02 +/-  0.00e+00  <none>
      ST_bin_6_mt_DM11    0.0000e+00    1.8409e-02 +/-  0.00e+00  <none>
       ST_bin_7_mt_DM0    0.0000e+00    5.3173e-03 +/-  0.00e+00  <none>
       ST_bin_7_mt_DM1    0.0000e+00   -4.5166e-03 +/-  0.00e+00  <none>
      ST_bin_7_mt_DM10    0.0000e+00    1.0380e-02 +/-  0.00e+00  <none>
      ST_bin_7_mt_DM11    0.0000e+00    2.7166e-02 +/-  0.00e+00  <none>
       ST_bin_8_mt_DM0    0.0000e+00   -1.9639e-02 +/-  0.00e+00  <none>
       ST_bin_8_mt_DM1    0.0000e+00    1.7258e-03 +/-  0.00e+00  <none>
      ST_bin_8_mt_DM10    0.0000e+00   -2.9973e-03 +/-  0.00e+00  <none>
      ST_bin_8_mt_DM11    0.0000e+00    6.1473e-02 +/-  0.00e+00  <none>
      TTJ_bin_1_mt_DM0    0.0000e+00   -1.5761e-03 +/-  0.00e+00  <none>
      TTJ_bin_1_mt_DM1    0.0000e+00   -3.8122e-03 +/-  0.00e+00  <none>
     TTJ_bin_1_mt_DM10    0.0000e+00    2.1222e-03 +/-  0.00e+00  <none>
     TTJ_bin_1_mt_DM11    0.0000e+00   -7.8901e-03 +/-  0.00e+00  <none>
      TTJ_bin_2_mt_DM0    0.0000e+00    1.6020e-03 +/-  0.00e+00  <none>
      TTJ_bin_2_mt_DM1    0.0000e+00    1.3313e-02 +/-  0.00e+00  <none>
     TTJ_bin_2_mt_DM10    0.0000e+00   -6.1210e-03 +/-  0.00e+00  <none>
     TTJ_bin_2_mt_DM11    0.0000e+00   -5.9552e-03 +/-  0.00e+00  <none>
      TTJ_bin_3_mt_DM0    0.0000e+00    1.1464e-02 +/-  0.00e+00  <none>
      TTJ_bin_3_mt_DM1    0.0000e+00   -8.6046e-03 +/-  0.00e+00  <none>
     TTJ_bin_3_mt_DM10    0.0000e+00   -9.2948e-04 +/-  0.00e+00  <none>
     TTJ_bin_3_mt_DM11    0.0000e+00   -1.6302e-02 +/-  0.00e+00  <none>
      TTJ_bin_4_mt_DM0    0.0000e+00   -3.1802e-04 +/-  0.00e+00  <none>
      TTJ_bin_4_mt_DM1    0.0000e+00    3.7404e-03 +/-  0.00e+00  <none>
     TTJ_bin_4_mt_DM10    0.0000e+00    5.9508e-04 +/-  0.00e+00  <none>
     TTJ_bin_4_mt_DM11    0.0000e+00   -6.4128e-03 +/-  0.00e+00  <none>
      TTJ_bin_5_mt_DM0    0.0000e+00   -1.3638e-02 +/-  0.00e+00  <none>
      TTJ_bin_5_mt_DM1    0.0000e+00    1.3217e-03 +/-  0.00e+00  <none>
     TTJ_bin_5_mt_DM10    0.0000e+00   -7.4402e-03 +/-  0.00e+00  <none>
     TTJ_bin_5_mt_DM11    0.0000e+00   -1.0490e-02 +/-  0.00e+00  <none>
      TTJ_bin_6_mt_DM0    0.0000e+00    4.9102e-03 +/-  0.00e+00  <none>
      TTJ_bin_6_mt_DM1    0.0000e+00   -7.5129e-03 +/-  0.00e+00  <none>
     TTJ_bin_6_mt_DM10    0.0000e+00    1.1261e-02 +/-  0.00e+00  <none>
     TTJ_bin_6_mt_DM11    0.0000e+00    1.1015e-02 +/-  0.00e+00  <none>
      TTJ_bin_7_mt_DM0    0.0000e+00    2.4722e-03 +/-  0.00e+00  <none>
      TTJ_bin_7_mt_DM1    0.0000e+00   -1.9747e-03 +/-  0.00e+00  <none>
     TTJ_bin_7_mt_DM10    0.0000e+00    4.7561e-03 +/-  0.00e+00  <none>
     TTJ_bin_7_mt_DM11    0.0000e+00    1.5703e-02 +/-  0.00e+00  <none>
      TTJ_bin_8_mt_DM0    0.0000e+00   -9.1278e-03 +/-  0.00e+00  <none>
      TTJ_bin_8_mt_DM1    0.0000e+00    9.1465e-04 +/-  0.00e+00  <none>
     TTJ_bin_8_mt_DM10    0.0000e+00   -1.4041e-03 +/-  0.00e+00  <none>
